length,dia,pre,mass,quality,enthalpy,temp,outcome
0.0051,2.6,9800,1986,0.391,673,170.53,1139
0.0051,2.6,9800,2503,0.392,443,222.33,1174
0.0051,2.6,9800,2992,0.337,359,240.44,1163
0.0051,2.6,9800,3441,0.301,281,256.75,1163
0.0051,2.6,9800,3998,0.289,206,271.87,1174
0.0051,2.6,9800,4746,0.317,84,294.98,1186
0.0051,2.6,9800,5304,0.131,521,205.08,1779
0.0051,2.6,9800,5304,0.124,535,201.95,1791
0.00607,0.792,9800,1604,0.237,503,209.09,2489
0.00607,0.792,9800,1613,0.27,387,234.46,2310
0.00607,0.792,9800,1584,0.304,291,254.69,2110
0.00607,0.792,9800,1594,0.344,165,279.86,1900
0.00607,0.792,9800,1594,0.385,51,300.85,1710
0.00607,0.792,9800,2208,0.171,373,237.46,2539
0.00607,0.792,9800,2208,0.22,216,269.88,2170
0.00607,0.792,9800,2199,0.285,57,299.79,1820
0.00607,0.792,9800,2707,0.011,791,143.07,4130
0.00607,0.792,9800,2698,0.068,549,198.8,3280
0.00607,0.792,9800,2707,0.103,411,229.29,2820
0.00607,0.792,9800,2707,0.143,266,259.82,2360
0.00607,0.792,9800,2659,0.213,112,289.86,2010
0.00607,0.792,9800,2707,0.226,45,301.89,1800
0.00607,0.792,9800,3197,0.007,665,172.38,4090
0.00607,0.792,9800,3207,0.035,544,199.93,3590
0.00607,0.792,9800,3197,0.067,411,229.29,3040
0.00607,0.792,9800,3207,0.096,315,249.71,2710
0.00607,0.792,9800,3207,0.13,216,269.88,2380
0.00607,0.792,9800,3197,0.193,57,299.79,1920
0.00607,0.792,9800,4003,0.011,480,214.19,3761
0.00607,0.792,9800,4023,0.056,325,247.62,3030
0.00607,0.792,9800,4023,0.099,159,281.01,2239
0.00607,0.792,9800,4003,0.139,68,297.85,1930
0.00607,0.792,9800,5002,0.02,373,237.46,3811
0.00607,0.792,9800,5002,0.041,266,259.82,3090
0.00607,0.792,9800,5002,0.066,165,279.86,2460
0.0074,3.8,9800,1260,0.603,330,246.57,697
0.0074,3.8,9800,2003,0.391,211,270.88,709
0.0074,3.8,9800,2519,0.331,133,285.95,709
0.0074,3.8,9800,2003,0.397,691,166.38,1174
0.0074,3.8,9800,2519,0.302,540,200.83,1151
0.0074,3.8,9800,2558,0.305,540,200.83,1174
0.0074,3.8,9800,3004,0.269,453,220.14,1174
0.0074,3.8,9800,3475,0.267,335,245.52,1163
0.0074,3.8,9800,3940,0.265,256,261.85,1163
0.0074,3.8,9800,4496,0.287,154,281.97,1163
0.0074,3.8,9800,5529,0.266,90,293.89,1174
0.0074,3.8,9800,5878,0.284,34,303.79,1174
0.0074,3.8,9800,5943,0.287,28,304.82,1174
0.0104,3.8,9800,668,0.779,611,184.76,755
0.0104,3.8,9800,668,0.766,594,188.63,732
0.0104,3.8,9800,896,0.564,485,213.09,755
0.0104,3.8,9800,896,0.568,466,217.28,755
0.0104,3.8,9800,1112,0.444,387,234.46,767
0.0104,3.8,9800,1325,0.394,315,249.71,767
0.0104,3.8,9800,2002,0.312,128,286.88,755
0.0104,3.8,9800,2015,0.328,112,289.86,767
0.0104,3.8,9800,2240,0.223,682,168.46,1500
0.0104,3.8,9800,2240,0.285,354,241.5,1104
0.0104,3.8,9800,3336,0.122,480,214.19,1477
0.0051,2.6,11760,2489,0.271,647,195.07,1151
0.0051,2.6,11760,2992,0.178,1025,106.86,1756
0.0051,2.6,11760,3414,0.136,906,135.08,1732
0.0051,2.6,11760,3917,0.12,798,160.39,1744
0.0077,2.6,11760,1021,0.5,361,257.24,732
0.0077,2.6,11760,1021,0.517,341,261.35,732
0.0077,2.6,11760,1253,0.42,270,275.6,721
0.0077,2.6,11760,1253,0.445,244,280.67,721
0.0077,2.6,11760,1498,0.324,634,198.01,1128
0.0077,2.6,11760,1498,0.38,202,288.69,744
0.0077,2.6,11760,1736,0.235,897,137.2,1511
0.0077,2.6,11760,1963,0.238,472,233.8,1104
0.0077,2.6,11760,1999,0.338,90,308.76,744
0.0077,2.6,11760,2017,0.175,1062,98.04,1895
0.0077,2.6,11760,2017,0.19,789,162.48,1511
0.0077,2.6,11760,2261,0.305,72,311.77,732
0.0077,2.6,11760,2285,0.142,719,178.65,1511
0.0077,2.6,11760,2422,0.162,638,197.1,1488
0.0077,2.6,11760,2506,0.184,381,253.1,1116
0.0077,2.6,11760,2756,0.108,807,158.29,1907
0.0077,2.6,11760,2756,0.139,579,210.34,1488
0.0077,2.6,11760,2971,0.1,745,172.66,1907
0.0077,2.6,11760,2971,0.183,291,271.44,1116
0.0077,2.6,11760,3252,0.095,692,184.83,1930
0.0077,2.6,11760,3281,0.112,486,230.78,1500
0.0077,2.6,11760,3442,0.11,458,236.81,1500
0.0077,2.6,11760,5727,0.197,113,304.81,1535
0.0077,2.6,11760,5984,0.216,67,312.6,1500
0.0104,3.8,11760,609,0.786,767,167.58,709
0.0104,3.8,11760,805,0.567,625,200.04,709
0.0104,3.8,11760,1014,0.464,477,232.72,721
0.0104,3.8,11760,1214,0.331,897,137.2,1069
0.0104,3.8,11760,1397,0.215,1201,64.73,1383
0.0104,3.8,11760,1501,0.26,745,172.66,1081
0.0104,3.8,11760,1515,0.326,301,269.44,721
0.0104,3.8,11760,1515,0.334,281,273.43,709
0.0104,3.8,11760,1940,0.304,169,294.81,709
0.0104,3.8,11760,1995,0.302,136,300.77,686
0.0104,3.8,11760,2384,0.314,61,313.59,709
0.0104,3.8,11760,2453,0.124,692,184.83,1395
0.00384,0.799,14710,4006,0.106,357,281.71,2280
0.00384,0.799,14710,4006,0.111,309,290.94,2080
0.00384,0.799,14710,4006,0.134,254,301.14,1939
0.00384,0.799,14710,4006,0.164,203,310.17,1839
0.00384,0.799,14710,4990,0.123,254,301.14,2339
0.00384,0.799,14710,4942,0.149,203,310.17,2189
0.00384,0.799,14710,4942,0.184,137,321.16,2000
0.00384,1.549,14710,3982,0.185,537,244.85,1800
0.00384,1.549,14710,3982,0.197,479,257.06,1700
0.00384,1.549,14710,3958,0.255,352,282.68,1520
0.00384,1.549,14710,4006,0.261,287,295.07,1400
0.00384,1.549,14710,4006,0.258,220,307.21,1230
0.00384,1.549,14710,4006,0.272,167,316.27,1130
0.0051,2.6,14710,2027,0.289,378,277.58,662
0.0051,2.6,14710,2258,0.302,287,295.07,662
0.0051,2.6,14710,2503,0.277,678,214.12,1163
0.0051,2.6,14710,3522,0.316,73,330.89,686
0.00607,0.792,14710,1604,0.026,687,212.11,2200
0.00607,0.792,14710,1604,0.155,362,280.73,1610
0.00607,0.792,14710,1604,0.178,254,301.14,1370
0.00607,0.792,14710,1604,0.213,137,321.16,1119
0.00607,0.792,14710,2208,0.095,362,280.73,1960
0.00607,0.792,14710,2199,0.21,73,330.89,1250
0.00607,0.792,14710,2707,-0.057,678,214.12,3200
0.00607,0.792,14710,2707,-0.002,542,243.79,2800
0.00607,0.792,14710,2698,0.118,197,311.21,1689
0.00607,0.792,14710,2717,0.181,73,330.89,1380
0.00607,0.792,14710,3187,0.013,424,268.36,2660
0.00607,0.792,14710,3187,0.081,214,308.26,1870
0.00607,0.792,14710,3187,0.156,67,331.75,1420
0.00607,0.792,14710,4013,-0.04,464,260.17,3261
0.00607,0.792,14710,4013,0.035,309,290.94,2700
0.00607,0.792,14710,4013,0.102,137,321.16,1930
0.00607,0.792,14710,4013,0.147,67,331.75,1739
0.00607,0.792,14710,4954,-0.007,362,280.73,3411
0.00607,0.792,14710,4963,0.051,248,302.22,2940
0.00607,0.792,14710,4992,0.138,67,331.75,2060
0.0077,2.6,14710,1032,0.471,488,255.19,744
0.0077,2.6,14710,1235,0.381,424,268.36,755
0.0077,2.6,14710,1271,0.34,858,173.23,1128
0.0077,2.6,14710,1295,0.399,155,318.25,558
0.0077,2.6,14710,1426,0.321,388,275.6,755
0.0077,2.6,14710,1474,0.266,710,206.97,1104
0.0077,2.6,14710,1748,0.175,980,144.77,1442
0.0077,2.6,14710,2017,0.223,293,293.95,779
0.0077,2.6,14710,2255,0.09,1061,125.64,1918
0.0077,2.6,14710,2440,0.212,185,313.25,755
0.0077,2.6,14710,2458,0.086,923,158.13,1884
0.0077,2.6,14710,2470,0.17,439,265.31,1128
0.0077,2.6,14710,2750,0.117,613,228.46,1488
0.0077,2.6,14710,2750,0.09,836,178.31,1884
0.0077,2.6,14710,2798,0.25,99,327.06,767
0.0077,2.6,14710,3001,0.265,60,332.74,767
0.0077,2.6,14710,3001,0.132,537,244.85,1488
0.0077,2.6,14710,3156,0.201,254,301.14,1093
0.0077,2.6,14710,3252,0.132,493,254.14,1511
0.0077,2.6,14710,3472,0.148,439,265.31,1523
0.0077,2.6,14710,3520,0.219,191,312.23,1116
0.0077,2.6,14710,3532,0.111,622,226.49,1907
0.0077,2.6,14710,4636,0.186,243,303.12,1511
0.0077,2.6,14710,4749,0.195,226,306.15,1523
0.0077,2.6,14710,4999,0.147,362,280.73,1907
0.0077,2.6,14710,5137,0.214,167,316.27,1500
0.0077,2.6,14710,5357,0.229,137,321.16,1500
0.0077,2.6,14710,5495,0.232,124,323.22,1523
0.00807,0.778,14710,1005,0.112,464,260.17,1510
0.00807,0.778,14710,1011,0.166,309,290.94,1269
0.00807,0.778,14710,1000,0.214,197,311.21,1100
0.00807,0.782,14710,1011,-0.087,923,158.13,2170
0.00807,0.782,14710,1011,-0.043,791,188.63,1950
0.0078,0.776,14710,1593,-0.101,746,198.86,2580
0.00807,0.785,14710,1597,0.076,309,290.94,1620
0.00807,0.785,14710,1597,0.154,137,321.16,1260
0.00802,1.57,14710,1012,0.279,464,260.17,969
0.00802,1.57,14710,1001,0.33,243,303.12,750
0.00802,1.57,14710,1601,0.03,923,158.13,1989
0.00802,1.57,14710,1601,0.151,513,249.94,1370
0.00802,1.57,14710,1601,0.225,197,311.21,889
0.00802,1.57,14710,1601,0.276,73,330.89,750
0.00802,1.57,14710,2189,0.012,787,189.54,2239
0.00802,1.57,14710,2195,0.085,518,248.89,1700
0.00802,1.57,14710,2195,0.133,367,279.75,1430
0.00802,1.57,14710,2206,0.138,254,301.14,1169
0.00802,1.57,14710,2189,0.219,73,330.89,860
0.00802,1.57,14710,2700,-0.005,796,187.49,2720
0.00802,1.57,14710,2722,0.023,650,220.33,2350
0.01075,3,14710,1004,0.365,464,260.17,752
0.01075,3,14710,1001,0.441,137,321.16,534
0.0104,3.8,14710,534,0.696,214,308.26,337
0.0104,3.8,14710,671,0.543,265,299.13,383
0.0104,3.8,14710,700,0.533,155,318.25,337
0.0104,3.8,14710,995,0.374,336,285.78,488
0.0104,3.8,14710,1112,0.226,1200,92.5,1081
0.0104,3.8,14710,1112,0.268,728,202.92,755
0.0104,3.8,14710,1338,0.238,566,238.65,744
0.0104,3.8,14710,1668,0.194,444,264.29,744
0.0104,3.8,14710,1675,0.168,769,193.64,1069
0.0104,3.8,14710,1701,0.199,414,270.39,709
0.0104,3.8,14710,2178,0.225,282,296,744
0.0104,3.8,14710,2218,0.153,522,248.04,1058
0.0104,3.8,14710,2237,0.101,867,171.15,1465
0.0104,3.8,14710,2270,0.049,1175,98.48,1884
0.0104,3.8,14710,2679,0.228,173,315.27,767
0.0104,3.8,14710,2806,0.237,143,320.2,755
0.0104,3.8,14710,2832,0.247,118,324.15,744
0.0104,3.8,14710,3359,0.198,254,301.14,1058
0.0104,3.8,14710,3444,0.136,488,255.19,1488
0.01075,4,14710,2030,0.181,464,260.17,885
0.01075,4,14710,2030,0.204,362,280.73,783
0.01075,4,14710,2017,0.242,254,301.14,689
0.01075,4,14710,2017,0.283,143,320.2,598
0.01075,4,14710,2749,0.188,362,280.73,1031
0.01075,4,14710,2749,0.188,362,280.73,1031
0.0104,3.8,15690,605,0.71,1048,137.68,709
0.0104,3.8,15690,828,0.398,887,175.32,709
0.0104,3.8,15690,998,0.338,744,207.9,721
0.0104,3.8,15690,1250,0.245,618,235.7,721
0.0104,3.8,15690,1511,0.209,497,261.33,721
0.0104,3.8,15690,1743,0.216,374,285.98,697
0.0104,3.8,15690,2862,0.274,92,334.15,721
0.0104,3.8,15690,2460,0.11,730,211.04,1395
0.0104,3.8,15690,2943,0.114,575,244.95,1372
0.0051,2.6,17650,1959,0.235,1059,153.56,1232
0.0051,2.6,17650,1999,0.345,432,290.36,686
0.0051,2.6,17650,2027,0.361,372,301.67,686
0.0051,2.6,17650,2285,0.359,326,309.99,697
0.0051,2.6,17650,2475,0.39,255,322.14,674
0.0051,2.6,17650,2965,0.197,1072,150.5,1744
0.0051,2.6,17650,2965,0.321,552,266.45,1174
0.0051,2.6,17650,3386,0.216,900,190.42,1756
0.0051,2.6,17650,3522,0.3,438,289.2,1174
0.0051,2.6,17650,3998,0.263,717,231.4,1767
0.0051,2.6,17650,4447,0.215,655,244.82,1767
0.0051,2.6,17650,4773,0.244,582,260.24,1791
0.0074,3.8,17650,1486,0.323,688,237.71,686
0.0074,3.8,17650,1744,0.3,572,262.32,697
0.0074,3.8,17650,2261,0.309,372,301.67,697
0.0074,3.8,17650,2397,0.19,828,206.76,1174
0.0074,3.8,17650,2500,0.302,326,309.99,709
0.0074,3.8,17650,2700,0.297,285,317.11,709
0.0074,3.8,17650,2739,0.202,721,230.53,1163
0.0074,3.8,17650,3191,0.227,567,263.36,1163
0.0074,3.8,17650,3217,0.218,557,265.42,1163
0.0074,3.8,17650,3469,0.34,123,341.87,686
0.0074,3.8,17650,3501,0.035,1178,125.45,2046
0.0074,3.8,17650,3695,0.242,448,287.26,1174
0.0074,3.8,17650,3998,0.071,998,167.81,2035
0.0074,3.8,17650,3998,0.26,383,299.63,1174
0.0074,3.8,17650,4244,0.087,936,182.16,2046
0.0074,3.8,17650,4302,0.287,315,311.93,1163
0.0074,3.8,17650,4496,0.294,285,317.11,1174
0.0074,3.8,17650,4883,0.083,796,213.94,2046
0.0074,3.8,17650,5497,0.124,674,240.74,2046
0.0074,3.8,17650,5742,0.105,655,244.82,2058
0.0074,3.8,17650,6027,0.111,611,254.17,2058
0.0074,3.8,17650,6246,0.153,542,268.5,2011
0.0074,3.8,17650,6692,0.116,537,269.52,2046
0.00802,1.57,17650,979,0.241,459,285.12,830
0.00802,1.57,17650,996,0.171,606,255.22,950
0.00802,1.57,17650,1001,0.094,749,224.37,1060
0.00796,1.565,17650,1619,0.015,864,198.62,1800
0.00796,1.565,17650,1619,0.082,626,251,1430
0.00796,1.565,17650,1630,0.026,777,218.17,1639
0.00802,1.57,17650,1601,0.109,511,274.79,1230
0.00802,1.57,17650,1601,0.19,285,317.11,919
0.00802,1.57,17650,1601,0.285,86,346.54,669
0.00802,1.57,17650,2178,0.027,640,248.03,1850
0.00802,1.57,17650,2216,0.134,378,300.56,1410
0.00802,1.57,17650,2216,0.18,255,322.14,1180
0.00802,1.57,17650,2689,0.037,557,265.42,2050
0.00802,1.57,17650,2684,0.097,454,286.09,1850
0.00802,1.57,17650,2689,0.137,344,306.77,1600
0.00802,1.57,17650,2689,0.222,158,337.07,1210
0.00802,1.57,17650,2689,0.265,86,346.54,1069
0.00802,1.57,17650,3201,0.107,344,306.77,1810
0.00802,1.57,17650,3212,0.059,454,286.09,2100
0.00802,1.57,17650,3212,0.206,158,337.07,1389
0.00802,1.57,17650,3987,0.049,454,286.09,2580
0.00802,1.57,17650,4009,0.09,344,306.77,2220
0.00802,0.778,17650,2216,0.025,291,316.09,1850
0.00807,0.778,17650,2678,-0.098,485,279.99,2860
0.00807,0.778,17650,2694,-0.042,372,301.67,2480
0.00807,0.778,17650,3188,0.023,255,322.14,2380
0.0104,3.8,17650,785,0.344,1050,155.67,709
0.0104,3.8,17650,828,0.302,1041,157.77,744
0.0104,3.8,17650,910,0.254,1020,162.68,744
0.0104,3.8,17650,923,0.21,1006,165.94,744
0.0104,3.8,17650,1070,0.172,846,202.7,744
0.0104,3.8,17650,1253,0.18,669,241.81,697
0.0104,3.8,17650,1416,0.185,572,262.32,686
0.0104,3.8,17650,1662,0.118,864,198.62,1081
0.0104,3.8,17650,1688,0.045,1192,122.13,1407
0.0104,3.8,17650,2123,0.289,261,321.15,732
0.0104,3.8,17650,2218,0.035,1213,117.13,1872
0.0104,3.8,17650,2244,0.11,841,203.83,1430
0.0104,3.8,17650,2368,0.324,165,336.07,686
0.0104,3.8,17650,2888,0.132,636,248.88,1465
0.0104,3.8,17650,3303,0.238,273,319.14,1081
0.0104,3.8,17650,3333,0.06,759,222.16,1814
0.0104,3.8,17650,3414,0.183,427,291.32,1360
0.0104,3.8,17650,3470,0.256,217,328.24,1058
0.0104,3.8,19610,769,0.317,1154,152.05,709
0.0104,3.8,19610,785,0.262,1132,157.21,686
0.0104,3.8,19610,1014,0.24,840,223.97,686
0.0104,3.8,19610,1014,0.232,859,219.75,686
0.0104,3.8,19610,1089,0.239,868,217.75,755
0.0104,3.8,19610,1201,0.234,712,251.77,697
0.0104,3.8,19610,1498,0.284,491,296.46,697
0.0104,3.8,19610,1930,0.343,295,330.81,697
0.0104,3.8,19610,1979,0.362,262,335.89,686
0.0104,3.8,19610,1998,0.302,314,327.78,697
0.0104,3.8,19610,2218,0,982,191.98,1477
0.0104,3.8,19610,2218,0.153,633,268.29,1104
0.0104,3.8,19610,2283,0.35,214,342.82,709
0.0104,3.8,19610,2410,0.31,228,340.86,721
0.0104,3.8,19610,2509,0.187,496,295.51,1069
0.0104,3.8,19610,2718,0.046,712,251.77,1395
0.0104,3.8,19610,2760,0.218,411,311.24,1069
0.0104,3.8,19610,2943,0.206,364,319.46,1035
0.0104,3.8,19610,2999,0.068,628,269.32,1395
0.0104,3.8,19610,3248,0.238,308,328.75,1046
0.0104,3.8,19610,3277,0.117,545,286.01,1395
0.0104,3.8,19610,3303,0.036,722,249.64,1721
0.0104,3.8,19610,3496,0.115,518,291.28,1418
0.0108,3,19610,498,0.328,673,259.99,393
0.0108,3,19610,498,0.332,571,280.86,351
0.0108,3,19610,498,0.378,463,301.73,317
0.0108,3,19610,995,0.138,673,259.99,679
0.0108,3,19610,995,0.191,566,281.86,617
0.0108,3,19610,995,0.238,463,301.73,557
0.0108,3,19610,1001,0.288,339,323.68,483
0.0108,3,19610,1508,0.071,673,259.99,972
0.0108,3,19610,1508,0.126,571,280.86,887
0.0108,3,19610,1501,0.241,346,322.51,694
0.0108,3,19610,2002,0.03,673,259.99,1245
0.0108,3,19610,2002,0.088,571,280.86,1135
0.0108,3,19610,2002,0.127,463,301.73,995
0.0108,3,19610,2002,0.193,339,323.68,861
0.00795,0.61,6890,5221.5,-0.0986,639.043,146.91,8334.9
0.01044,1.753,13790,950.2,0.39,61.072,326.94,672.015
0.01044,1.753,13790,1357.4,0.307,46.647,329.06,760.355
0.01044,1.753,13790,1764.7,0.251,43.947,329.44,823.455
0.01044,1.753,13790,1764.7,0.223,115.563,318.5,930.725
0.01044,1.753,13790,1764.7,0.196,169.844,309.44,987.515
0.01044,1.753,13790,1764.7,0.183,217.133,301.11,1063.235
0.01046,1.803,13790,1357.4,0.245,215.59,301.39,946.5
0.01046,1.803,13790,1357.4,0.253,143.642,313.89,826.61
0.01046,1.803,13790,950.2,0.303,359.361,274.06,946.5
0.01046,1.803,13790,950.2,0.335,283.146,288.89,883.4
0.01046,1.803,13790,950.2,0.353,218.673,300.83,820.3
0.01046,1.803,13790,678.7,0.498,95.653,321.67,631
0.01046,1.803,13790,678.7,0.468,201.607,303.89,694.1
0.01046,1.803,13790,678.7,0.371,563.648,231.39,946.5
0.01046,1.803,13790,678.7,0.375,492.452,246.67,883.4
0.01054,1.778,13790,1764.7,0.205,89.602,322.61,817.145
0.01054,1.753,13790,1764.7,0.212,75.87,324.72,810.835
0.01054,1.778,13790,1764.7,0.178,182.671,307.22,965.43
0.01054,1.803,13790,1357.4,0.255,134.616,315.39,813.99
0.01054,1.803,13790,950.2,0.281,375.471,270.83,943.345
0.00795,0.61,6895,5085,-0.12,686,135.97,8359.7
0.00795,0.597,6895,1912,0.136,523,173.86,4637.3
0.00795,0.597,6895,1789.9,0.157,451,190.27,4101
0.00795,0.597,6895,1654.3,0.188,431,194.78,3943.2
0.01288,1.105,6895,1559.4,0.068,730,125.6,3785.5
0.01288,1.105,6895,1722.1,0.13,463,187.55,3312.3
0.01288,1.105,6895,1939.1,0.048,642,146.28,4037.9
0.01288,1.105,6895,1912,0.02,729,125.84,4227.2
0.0152,2.456,4992,1280,0.589,-526.492,263.84,884
0.0152,2.456,5001,1150,0.514,111.484,241.16,1726
0.0152,2.456,5001,1150,0.515,111.484,241.16,1735
0.0152,2.456,5011,1130,0.461,340.864,191.2,1944
0.0152,2.456,5011,1130,0.455,365.446,185.64,1980
0.0152,2.456,5021,1130,0.488,222.778,217.57,1811
0.0152,2.456,5021,1130,0.48,221.14,217.93,1795
0.0152,2.456,5001,1560,0.603,-793.501,263.96,470
0.0152,2.456,5001,1470,0.543,-563.976,263.96,744
0.0152,2.456,4992,1420,0.521,-214.861,263.84,1419
0.0152,2.456,4992,1470,0.506,-318.191,263.84,1168
0.0152,2.456,4992,1510,0.529,-410.04,263.84,1067
0.0152,2.456,4992,1550,0.396,104.97,242.4,1836
0.0152,2.456,4992,1490,0.416,104.97,242.4,1850
0.0152,2.456,5070,1560,0.392,156.922,232.45,1962
0.0152,2.456,5070,1560,0.383,147.114,234.54,1902
0.0152,2.456,5070,1510,0.354,312.209,198.46,2106
0.0152,2.456,4992,2110,0.561,-774.156,263.84,476
0.0152,2.456,4992,2210,0.586,-846.323,263.84,384
0.0152,2.456,4992,2210,0.495,-574.056,263.84,816
0.0152,2.456,4992,2150,0.484,-547.814,263.84,816
0.0152,2.456,4992,2150,0.483,-547.814,263.84,816
0.0152,2.456,5011,2140,0.421,-326.115,264.08,1211
0.0152,2.456,5001,2130,0.418,-311.498,263.96,1238
0.0152,2.456,4992,2120,0.332,106.61,242.06,2148
0.0152,2.456,5001,2220,0.316,108.205,241.85,2168
0.0152,2.456,5001,2210,0.315,108.205,241.85,2158
0.0152,2.456,4992,2280,0.258,209.941,219.97,2257
0.0152,2.456,4992,2270,0.236,270.627,206.63,2335
0.0152,2.456,4992,2250,0.252,234.543,214.59,2284
0.0152,2.456,5070,2210,0.217,326.921,195.16,2352
